Alfa, Beta, Gamma, Alfa Rate, Beta Rate, Gamma Rate
35.9165,89.78186,0.36445126,-0.4014969,0.05722046,-0.07490069,
35.86627,89.7968,0.34437352,-0.41294098,0.09918213,-0.13695657,
35.801155,89.75808,0.39922562,-0.28324127,-0.049591064,0.07221848,
35.801094,89.76059,0.3957725,0.11730194,-0.20980835,0.28607994,
35.8194,89.761795,0.3937996,0.11730194,-0.20980835,0.28607994,
35.80447,89.76778,0.38552275,0.12397766,0.24032593,-0.33980608,
35.736866,89.77591,0.37483418,0.3490448,0.09918213,-0.14428794,
35.70589,89.77843,0.37175113,0.6084442,0.41770935,-0.5923733,
35.64294,89.77185,0.38181692,0.6084442,0.41770935,-0.5923733,
35.700947,89.77769,0.3728877,0.44822693,-0.22506714,0.31396002,
35.687916,89.787285,0.359663,0.37670135,0.67329407,-0.94501674,
35.68508,89.79065,0.35511684,0.19168854,0.6542206,-0.9113699,
35.71457,89.77732,0.37351936,0.19168854,0.6542206,-0.9113699,
36.43841,89.79241,0.3441001,0.26988983,0.13923645,-0.1951009,
36.470364,89.791695,0.34461734,0.26988983,0.13923645,-0.1951009,
36.51268,89.7848,0.35320288,0.26988983,0.13923645,-0.1951009,
37.10741,89.73415,0.4132668,0.5750656,0.05531311,-0.0878647,
37.307167,89.805664,0.32171938,0.5750656,0.05531311,-0.0878647,
36.94142,89.716515,0.44899374,-0.92601776,0.24032593,-0.337556,
37.025288,89.69307,0.47776893,-0.92601776,0.24032593,-0.337556,
36.90327,89.68699,0.48662338,-1.0261536,-0.25367737,0.35740435,
36.842476,89.68025,0.49535057,-0.48923492,0.34713745,-0.46138465,
36.82836,89.65909,0.52158844,0.45490265,-0.036239624,0.035330653,
36.7645,89.67399,0.5018162,-0.9908676,-0.3414154,0.47948956,
36.750305,89.67598,0.49889544,-0.9908676,-0.3414154,0.47948956,
36.69246,89.67624,0.49897185,-0.9908676,-0.3414154,0.47948956,
36.536705,89.6624,0.5193739,0.22411346,-0.009536743,0.0034868717,
36.548744,89.66671,0.513083,0.22411346,-0.009536743,0.0034868717,
36.530758,89.66437,0.5158622,1.1453629,0.2975464,-0.42505562,
36.44822,89.658035,0.5255795,0.52547455,-0.0038146973,-0.006198883,
36.455635,89.65392,0.5309709,0.52547455,-0.0038146973,-0.006198883,
36.457695,89.66058,0.52186877,-0.26226044,-0.5283356,0.7198304,
36.451904,89.66493,0.51620835,-0.26226044,-0.5283356,0.7198304,
35.781143,88.9287,1.8300062,-0.26226044,-0.5283356,0.7198304,
23.222828,90.642395,-24.425846,-46.56458,28.7323,129.81606,
-26.965214,86.61179,99.20274,17.783642,20.401001,1.3790131,
-30.121542,86.484886,111.513916,17.783642,20.401001,1.3790131,
-34.81941,86.18202,130.58676,17.783642,20.401001,1.3790131,
-41.265503,85.93225,161.92339,17.783642,20.401001,1.3790131,
-39.52636,85.279335,172.33844,2.7132034,-0.85639954,0.21743774,
-39.23864,85.204445,172.46924,2.4671555,0.3376007,1.5487671,
-38.77175,85.066284,172.48653,2.0809174,-0.31661987,0.49591064,
-37.625618,84.726814,172.47566,2.4194717,-0.6942749,-0.88500977,
-36.91743,84.53042,172.2331,2.3441315,-0.0743866,-0.91934204,
-35.889812,84.2454,171.85133,0.8840561,-0.18692017,-0.18692017,
-35.99034,84.35534,172.08817,0.8840561,-0.18692017,-0.18692017,
-36.23894,84.56317,172.45158,0.8840561,-0.18692017,-0.18692017,
-37.614727,85.17829,173.63078,-4.887581,1.0032654,2.2888184,
-41.48393,84.95343,174.28578,-0.41389465,-0.53215027,-0.46920776,
-41.798435,84.85497,174.25343,-0.41389465,-0.53215027,-0.46920776,
-42.19927,84.6615,174.13109,-0.28133392,-0.4348755,-0.415802,
-42.274525,84.46801,173.93895,0.6084442,-0.50354004,-0.6828308,
-42.25491,84.37528,173.83412,0.667572,-2.046585,-2.368927,
-41.99377,84.13143,173.50745,0.6046295,-0.18692017,-0.32043457,
-41.130535,82.25172,171.16457,0.75626373,-0.23269653,-0.4348755,
-40.781723,81.405426,170.08815,0.42152405,0.39291382,0.2937317,
-40.802345,81.47384,170.17387,0.37574768,0.85639954,0.869751,
-40.30288,80.96694,169.40828,0.8058548,-0.036239624,-0.33950806,
-40.234756,80.895355,169.29831,0.8058548,-0.036239624,-0.33950806,
-40.192837,80.82261,169.19743,0.8058548,-0.036239624,-0.33950806,
-40.12755,80.73167,169.0655,0.8058548,-0.036239624,-0.33950806,
-40.14542,80.259995,168.52322,-0.9717941,-0.53977966,-0.24032593,
-40.373398,80.161896,168.50032,-0.9717941,-0.53977966,-0.24032593,
-40.564007,80.21032,168.63034,-0.9717941,-0.53977966,-0.24032593,
-40.64803,80.30088,168.7669,-1.0356903,-0.18501282,0.19073486,
-41.367794,80.75304,169.5366,-1.0356903,-0.18501282,0.19073486,
-41.574883,80.82837,169.70465,0.2670288,0.02670288,-0.05340576,
-41.56768,80.7867,169.65916,-0.15544891,-0.415802,-0.4081726,
-41.350525,80.779526,169.57428,-0.15544891,-0.415802,-0.4081726,
-41.26476,80.61851,169.36264,0.0,0.0,0.0,
-41.303814,80.44146,169.17853,-0.69236755,-0.020980835,0.24032593,
-41.33466,80.388855,169.13188,-0.69236755,-0.020980835,0.24032593,
-41.339024,80.26561,168.99416,-0.69236755,-0.020980835,0.24032593,
-41.326508,80.23998,168.96103,0.11920929,0.62942505,0.6599426,
-41.32586,80.19223,168.907,0.5569458,-0.85639954,-1.1863708,
-41.265804,79.999695,168.66689,0.26607513,-0.2632141,-0.4005432,
-41.13239,79.9433,168.55106,0.5245209,-0.09727478,-0.31661987,
-41.4147,80.53632,169.31514,-1.282692,1.077652,1.6441345,
-41.474815,80.69375,169.5166,-0.24604797,0.7953644,0.9994507,
-41.46694,80.727135,169.55298,-0.062942505,-0.061035156,-0.034332275,
0.89083517,83.45155,77.13958,37.805916,3.9520264,-86.509705,
12.1602125,85.01241,54.696945,37.805916,3.9520264,-86.509705,
20.276009,86.33473,38.505085,37.805916,3.9520264,-86.509705,
24.42225,86.935776,30.43096,37.805916,3.9520264,-86.509705,
32.24158,88.1626,15.387531,8.081436,1.4743805,-14.851809,
-38.938282,87.2107,107.439865,-10.014534,-1.4095306,68.1057,
-44.911766,86.05768,151.3054,-2.878189,-0.66947937,29.03366,
7.2581153,88.412506,57.899452,-2.6569366,2.2773743,12.691498,
22.160978,90.37487,39.55147,33.58078,2.3441315,-40.71045,
27.414574,91.05669,33.30694,31.730175,6.1416626,-37.10842,
31.850452,91.611336,28.249432,31.730175,6.1416626,-37.10842,
39.59155,92.57901,19.41202,21.627426,0.97465515,-20.931244,
44.406487,93.008804,14.190058,14.482498,0.99372864,-16.736984,
45.48741,91.59718,6.264682,0.75244904,-6.5841675,-3.9657354,
39.439785,90.69716,14.884841,0.75244904,-6.5841675,-3.9657354,
-5.545394,88.534935,108.76465,-41.112064,-0.011444092,69.06128,
-17.620037,88.450714,128.88402,-34.987686,0.47302246,58.46405,
-31.009981,88.48218,149.92404,-34.987686,0.47302246,58.46405,
-34.000744,88.50003,154.65027,-34.987686,0.47302246,58.46405,
-34.714283,88.35182,157.01497,-34.987686,0.47302246,58.46405,
-29.518784,87.83168,158.61343,-34.987686,0.47302246,58.46405,
-9.386314,89.42385,66.9747,7.001877,0.623703,-27.33612,
-8.187063,89.52747,60.590046,7.001877,0.623703,-27.33612,
-6.371321,89.66654,75.74905,7.001877,0.623703,-27.33612,
-5.7053375,89.73004,71.6939,7.001877,0.623703,-27.33612,
-4.7162843,89.823105,69.05309,7.001877,0.623703,-27.33612,
-3.9636374,89.89776,51.9173,-0.23132563,-0.30326843,-6.729126,
-3.6911073,89.93194,24.816223,-0.23132563,-0.30326843,-6.729126,
-3.068432,89.98889,21.171284,0.52398443,-0.22888184,-8.877754,
-2.9584343,89.99753,19.926767,0.52398443,-0.22888184,-8.877754,
-2.7128832,90.03223,-0.80223066,0.30195713,0.18310547,25.48027,
-2.687023,90.03289,-2.9752467,0.30195713,0.18310547,25.48027,
-2.4960124,90.03811,20.576607,-0.010728836,-0.0667572,-109.25579,
-2.4840448,90.05066,5.116682,-0.051021576,0.0743866,53.662777,
-2.4797227,90.04833,13.926854,-0.4441738,0.1449585,307.90662,
-2.4831545,90.05546,-4.5349298,-0.08845329,0.16784668,-174.78204,
-2.4798787,90.05108,-4.210097,-0.21195412,-0.17356873,-30.311108,
-2.4836922,90.06208,-7.2457833,-0.21195412,-0.17356873,-30.311108,
-2.465008,90.04158,27.846233,-0.21290779,-0.062942505,159.70612,
-2.4611547,90.059715,-14.60133,0.3042221,-0.15830994,141.74461,
-2.4748714,90.0577,-15.121332,0.109910965,-0.2670288,3661.631,
-2.472025,90.05841,-18.343378,0.18596649,-0.45967102,171.9613,
-2.4581327,90.04638,16.268217,0.11450052,-0.032424927,137.94852,
-2.4670398,90.04726,0.76445186,0.11450052,-0.032424927,137.94852,
-2.4475625,90.070946,-51.509487,-0.15425682,-0.01335144,140.21777,
-2.4543898,90.0644,-31.305847,-0.15425682,-0.01335144,140.21777,
-2.4713497,90.06959,-43.790115,-0.023186207,0.29182434,-216.34293,
-2.462459,90.0712,-40.57854,-0.058412552,-0.43678284,-101.37081,
-2.4615045,90.065445,-33.2304,-0.058412552,-0.43678284,-101.37081,
-2.4578536,90.070564,-42.478863,-0.07742643,-0.35095215,224.81918,
-2.4668026,90.06432,-35.66724,-0.07742643,-0.35095215,224.81918,
-2.4732325,90.06419,-36.647545,-0.07742643,-0.35095215,224.81918,
-2.4462917,90.061775,-44.981842,-0.07742643,-0.35095215,224.81918,
-2.4584358,90.06861,-53.1349,0.010728836,0.30326843,6.9065094,
-2.469609,90.06454,-42.791504,0.010728836,0.30326843,6.9065094,
-2.474983,90.066345,-48.342693,0.010728836,0.30326843,6.9065094,
-2.4721696,90.071526,-46.22228,0.010728836,0.30326843,6.9065094,
-2.462747,90.072716,-50.8291,0.2104044,-0.34332275,42.13333,
-2.467206,90.077675,-64.39121,0.182271,0.12588501,-234.9739,
-2.472311,90.07264,-55.46346,-0.037252903,-0.08010864,-1.698494,
-2.4601083,90.06011,-28.493952,0.25224686,-0.19836426,16.527176,
-2.4478912,90.06142,-34.10687,0.012218952,0.0,108.67691,
-2.4638352,90.0615,-24.935823,-0.111579895,-0.04196167,179.36993,
-2.4649253,90.06746,-39.814095,-0.111579895,-0.04196167,179.36993,
-2.4733262,90.077415,-71.502396,0.23162365,0.036239624,95.50762,
-2.4687872,90.084206,-85.517075,0.23162365,0.036239624,95.50762,
-2.4588814,90.07002,-51.10673,0.12856722,0.0,-145.35999,
-2.4625182,90.081436,-67.355965,0.08022785,-0.08010864,3385.9768,
-2.4632425,90.07366,-52.141403,0.08022785,-0.08010864,3385.9768,
-2.4622028,90.072914,-52.98044,0.08022785,-0.08010864,3385.9768,
-2.4604454,90.07014,-40.564713,-0.10597706,0.4234314,18.99147,
-2.452236,90.0619,-21.906105,-0.44196844,0.46348572,-35.251617,
-2.4617145,90.06512,-23.612055,-0.12630224,-0.0019073486,21.18969,
-2.4418623,90.060616,-15.401744,-0.124156475,-0.04005432,-14.534473,
-2.4522166,90.053696,5.732055,-0.17374754,0.23651123,-39.928555,
-2.461772,90.05342,0.8249363,-0.30577183,-0.051498413,-222.58633,
-2.4764895,90.05717,-11.345625,-0.30577183,-0.051498413,-222.58633,
-2.465881,90.06274,-26.236748,-0.05340576,0.17547607,-156.23283,
-2.472164,90.06812,-34.49651,-0.05340576,0.17547607,-156.23283,
-2.4537292,90.06567,-40.01655,-0.17172098,-0.30708313,122.11609,
-2.4496565,90.05832,-32.50096,-0.17172098,-0.30708313,122.11609,
-2.4648793,90.060036,-37.898857,-0.17172098,-0.30708313,122.11609,
-2.4589949,90.039566,15.192359,-0.17172098,-0.30708313,122.11609,
-2.4514616,90.02945,43.282158,-0.17172098,-0.30708313,122.11609,
-2.4538307,90.028564,42.497208,-0.17172098,-0.30708313,122.11609,
-2.457626,90.0266,50.01581,0.062942505,-0.28800964,-38.080215,
-2.4676335,90.04485,23.715815,0.062942505,-0.28800964,-38.080215,
-2.4733858,90.04814,14.820255,0.062942505,-0.28800964,-38.080215,
-2.4803479,90.05903,-16.108402,0.062942505,-0.28800964,-38.080215,
-2.4822414,90.06709,-33.854572,0.062942505,-0.28800964,-38.080215,
-2.4741094,90.07052,-52.929314,0.08094311,-0.28419495,-103.0941,
-2.4638896,90.08467,-61.22455,0.08094311,-0.28419495,-103.0941,
-2.4640257,90.0615,-24.0977,-0.12636185,0.11253357,-3470.1052,
-2.4648912,90.0528,-11.089454,0.33777952,0.1296997,108.59871,
-2.4557903,90.068855,-34.69138,-0.058174133,0.06866455,-111.55748,
-2.4547625,90.069214,-39.685566,-0.058174133,0.06866455,-111.55748,
-2.4463155,90.06804,-38.544094,0.14948845,0.022888184,-228.61005,
-2.4408824,90.06797,-40.13023,0.14948845,0.022888184,-228.61005,
-2.4333045,90.063324,-37.494717,-0.1167655,0.051498413,130.17368,
-2.4333014,90.06425,-40.874905,-0.01692772,0.11253357,174.90768,
-2.427092,90.063225,-36.331635,-0.01692772,0.11253357,174.90768,
