X, Y, Z
0.316288,-6.642295,2.1156154,
0.3795456,-6.6001234,2.157787,
0.40063146,-6.607152,2.1859014,
0.3444025,-6.5790377,2.122644,
0.30223075,-6.5860662,2.14373,
0.3795456,-6.572009,2.1507585,
0.316288,-6.593095,2.1367013,
0.3795456,-6.51578,2.122644,
0.4428032,-6.6141806,1.897728,
0.40063146,-6.642295,1.8344704,
0.5412039,-6.5790377,1.841499,
0.52714664,-6.6001234,1.8485277,
0.54823256,-6.572009,1.7852701,
0.5974329,-6.557952,1.7712128,
0.6044615,-6.6001234,1.7712128,
0.52714664,-6.557952,1.7712128,
0.52011806,-6.6001234,1.806356,
0.5974329,-6.5790377,1.7993273,
0.54823256,-6.5790377,1.7009265,
0.632576,-6.5438943,1.7571555,
0.632576,-6.557952,1.6868694,
0.632576,-6.51578,1.6657834,
0.65366185,-6.5790377,1.7290411,
0.6606905,-6.607152,1.6587548,
0.6677191,-6.501723,1.6446975,
0.64663327,-6.5228086,1.6798407,
0.6958336,-6.473608,1.7079552,
0.73800534,-6.501723,1.7360697,
0.7169195,-6.473608,1.8133845,
0.6958336,-6.4525223,1.897728,
0.67474777,-6.473608,1.9188138,
0.73800534,-6.501723,1.8344704,
0.6958336,-6.5087514,1.8133845,
0.7239481,-6.51578,1.7290411,
0.7590912,-6.51578,1.7571555,
0.8223488,-6.51578,1.7360697,
0.8223488,-6.51578,1.7712128,
0.7590912,-6.473608,1.7782414,
0.8153202,-6.4806366,1.8204131,
0.7942343,-6.501723,1.7712128,
0.78017706,-6.459551,1.7712128,
0.7590912,-6.4665794,1.8204131,
0.7731484,-6.494694,1.8133845,
0.86452055,-6.473608,1.7290411,
0.84343463,-6.494694,1.6798407,
0.84343463,-6.51578,1.7641842,
0.8153202,-6.51578,1.6798407,
0.8715491,-6.5438943,1.7852701,
0.9277781,-6.5087514,1.7922987,
0.8504633,-6.5509233,1.8344704,
0.84343463,-6.5368657,1.8344704,
-0.5695655,-2.9452398,-7.056984,
-0.55550826,-2.79061,-7.148356,
-0.3165351,-3.9995332,-6.347093,
0.5341753,-6.7617817,0.97695106,
0.8996636,-6.1924634,2.994193,
1.0542934,-6.326007,2.6357334,
0.8856064,-6.234635,2.656819,
1.0191503,-6.2627497,2.5724757,
-1.0545404,-1.3286567,-7.633331,
-0.8928821,-1.0193973,-7.6965885,
-0.84368175,-0.8858535,-7.7176743,
-0.8647677,-0.73825246,-7.73876,
-0.80151004,-0.6960807,-7.759846,
-0.32356372,-3.2474706,-6.958583,
1.1386368,-6.3189783,2.530304,
1.1386368,-6.199492,2.7833345,
1.0964651,-6.1502914,2.8887637,
1.1386368,-6.051891,3.0363648,
1.0191501,-6.234635,2.9168782,
0.23897314,-6.8812685,-2.2634635,
-0.08459057,-6.5720086,-3.1209555,
-0.29544923,-6.51578,-3.1771843,
-0.27436337,-6.494694,-3.1631272,
-0.26030612,-6.5087514,-3.205299,
-0.28139198,-6.501723,-3.1912415,
-0.28139198,-6.4876657,-3.1771843,
-0.2532775,-6.501723,-3.1771843,
-0.29544923,-6.51578,-3.1420412,
-0.26733476,-6.51578,-3.1771843,
-0.29544923,-6.51578,-3.1631272,
-0.29544923,-6.494694,-3.14907,
-0.2532775,-6.51578,-3.184213,
-0.2532775,-6.51578,-3.14907,
-0.29544923,-6.51578,-3.1420412,
-0.27436337,-6.51578,-3.1631272,
-0.26030612,-6.501723,-3.1912415,
-0.29544923,-6.494694,-3.205299,
-0.28842062,-6.5368657,-3.1631272,
-0.28139198,-6.51578,-3.1631272,
-0.26030612,-6.4876657,-3.1420412,
-0.28139198,-6.51578,-3.1631272,
-0.2532775,-6.494694,-3.184213,
-0.26733476,-6.5228086,-3.1701558,
-0.26030612,-6.501723,-3.1912415,
-0.30247784,-6.4876657,-3.1912415,
-0.28842062,-6.51578,-3.1701558,
-0.28139198,-6.5438943,-3.1771843,
-0.29544923,-6.51578,-3.1631272,
-0.26733476,-6.4665794,-3.1420412,
-0.2532775,-6.473608,-3.1701558,
-0.27436337,-6.494694,-3.184213,
-0.29544923,-6.51578,-3.1631272,
-0.26030612,-6.51578,-3.1701558,
-0.27436337,-6.4806366,-3.1631272,
-0.22516301,-6.4665794,-3.2263846,
-0.27436337,-6.51578,-3.205299,
-0.2532775,-6.501723,-3.1631272,
-0.2532775,-6.4876657,-3.1490698,
-0.2532775,-6.4665794,-3.184213,
-0.27436337,-6.494694,-3.184213,
-0.2532775,-6.5087514,-3.1701558,
-0.26733476,-6.501723,-3.1631272,
-0.26030612,-6.459551,-3.1912415,
-0.28842062,-6.4525223,-3.1912415,
-0.28139198,-6.4806366,-3.1631272,
-0.30950648,-6.459551,-3.1912415,
-0.27436337,-6.501723,-3.2123275,
-0.29544923,-6.494694,-3.1631272,
-0.26030612,-6.51578,-3.1631272,
-0.26030612,-6.51578,-3.127984,
-0.3165351,-6.51578,-3.1631272,
-0.26030612,-6.5087514,-3.1701558,
-0.2532775,-6.51578,-3.184213,
-0.2532775,-6.51578,-3.1631272,
-0.2532775,-6.5087514,-3.1631272,
-0.28842062,-6.501723,-3.19827,
-0.2532775,-6.4876657,-3.1631272,
-0.23922026,-6.4876657,-3.1560986,
-0.28842062,-6.501723,-3.2263846,
-0.28139198,-6.51578,-3.1631272,
-0.27436337,-6.5509233,-3.1912415,
-0.2532775,-6.4525223,-3.1560984,
-0.26733476,-6.4876657,-3.2263846,
-0.28139198,-6.4806366,-3.1631272,
-0.27436337,-6.4876657,-3.1912415,
-0.2532775,-6.5368657,-3.184213,
-0.2532775,-6.51578,-3.2123275,
-0.30247784,-6.51578,-3.184213,
-0.26733476,-6.4525223,-3.1771843,
-0.26733476,-6.5368657,-3.1631272,
-0.28139198,-6.494694,-3.1631272,
-0.2532775,-6.51578,-3.1771843,
-0.2532775,-6.51578,-3.1771843,
-0.26733476,-6.4806366,-3.1701558,
-0.26030612,-6.494694,-3.1982703,
-0.26733476,-6.494694,-3.1631272,
-0.28139198,-6.4806366,-3.205299,
-0.26030612,-6.4876657,-3.1771843,
-0.2532775,-6.494694,-3.1701558,
-0.22516301,-6.4876657,-3.1631272,
-0.26030612,-6.4876657,-3.184213,
-0.28842062,-6.51578,-3.1771843,
-0.23219164,-6.51578,-3.1560984,
-0.30247784,-6.5087514,-3.1771843,
-0.27436337,-6.51578,-3.1912415,
-0.28139198,-6.501723,-3.2123275,
-0.27436337,-6.494694,-3.184213,
-0.2532775,-6.5087514,-3.184213,
-0.27436337,-6.5087514,-3.1490698,
-0.23922026,-6.5087514,-3.205299,
-0.26733476,-6.4876657,-3.1631272,
-0.29544923,-6.494694,-3.184213,
-0.2532775,-6.501723,-3.184213,
-0.26733476,-6.4525223,-3.2123275,
-0.3165351,-6.4876657,-3.1771843,
-0.2532775,-6.473608,-3.184213,
-0.23219164,-6.51578,-3.184213,
-0.2532775,-6.5228086,-3.1631272,
-0.26733476,-6.4876657,-3.1631272,
-0.2532775,-6.51578,-3.1631272,
-0.28139198,-6.51578,-3.205299,
-0.28842062,-6.529837,-3.1560986,
-0.27436337,-6.51578,-3.1982703,
-0.27436337,-6.424408,-3.1771843,
-0.28139198,-6.51578,-3.1631272,
-0.2532775,-6.51578,-3.1771843,
-0.28139198,-6.5087514,-3.184213,
-0.2532775,-6.4806366,-3.2263846,
-0.2532775,-6.4665794,-3.205299,
-0.2532775,-6.501723,-3.1771843,
-0.23219164,-6.494694,-3.1701558,
-0.28842062,-6.5228086,-3.1701558,
-0.29544923,-6.51578,-3.184213,
-0.23922026,-6.4525223,-3.219356,
-0.2532775,-6.4806366,-3.1912415,
-0.28139198,-6.4876657,-3.1701558,
