Skladowa H, Regulator Alfa, Regulator Beta, Uchyb Alfa, Uchyb Beta, PWM, Reg Alfa Rate, Reg Beta Rate
0.0,0.0,0.0,-2.2516375,-0.33390808,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2516375,-0.33390808,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2565124,-0.32508087,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2565124,-0.32508087,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2551389,-0.3394394,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2660668,-0.32826996,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2520359,-0.33300018,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2520359,-0.33300018,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2457068,-0.3345642,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2461817,-0.3294983,0.0,0.0,0.0,
0.0,0.0,0.0,-2.262706,-0.31929016,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2535927,-0.3249054,0.0,0.0,0.0,
0.0,0.0,0.0,-2.253335,-0.32591248,0.0,0.0,0.0,
0.0,0.0,0.0,-2.273928,-0.32650757,0.0,0.0,0.0,
0.0,0.0,0.0,-2.273928,-0.32650757,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2614324,-0.30361176,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2614324,-0.30361176,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2630942,-0.31269073,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2630942,-0.31269073,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2630942,-0.31269073,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2578754,-0.31802368,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2578754,-0.31802368,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2531877,-0.31401062,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2153862,-0.30762482,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2153862,-0.30762482,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2416942,-0.3142929,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2416942,-0.3142929,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2416942,-0.3142929,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2495015,-0.31550598,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2495015,-0.31550598,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2493694,-0.333107,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2610042,-0.31578827,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2547925,-0.3155365,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2547925,-0.3155365,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2547925,-0.3155365,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2547925,-0.3155365,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2351925,-0.32530975,0.0,0.0,0.0,
0.0,0.0,0.0,-2.224956,-0.30876923,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2281744,-0.31388855,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2394314,-0.32422638,0.0,0.0,0.0,
0.0,0.0,0.0,-2.242091,-0.29657745,0.0,0.0,0.0,
0.0,0.0,0.0,-2.2519672,-0.29039764,0.0,0.0,0.0,
0.0,0.0,0.0,-2.245455,-0.30070496,0.0,0.0,0.0,
0.0,0.0,0.0,-2.245455,-0.30070496,0.0,0.0,0.0,
