X, Y, Z, Dlugosc wektora
-0.68406755,0.1344711,0.78394485,1.0509742,
-0.708576,0.117770664,0.7808,1.0588473,
-0.708576,0.117770664,0.7808,1.0640641,
-0.69306844,0.122976,0.782752,1.0228482,
0.5889618,0.07048889,0.9332729,1.0133648,
0.5889618,0.07048889,0.9332729,1.0048957,
0.6428587,0.007374222,0.7561831,0.9897124,
0.61954314,0.018977778,0.79576534,1.005103,
0.6429671,0.00488,0.76605153,1.0014535,
-0.8574702,0.008350222,0.7031538,1.0852816,
-0.78036624,0.05736711,0.71096176,1.0645181,
-0.78036624,0.05736711,0.71096176,1.0618839,
-0.79544,0.058017775,0.7057564,1.0739279,
-0.7849209,0.067344,0.7002258,0.9660817,
0.86245865,-0.04901689,0.5050258,1.0011733,
0.8416374,-0.036979556,0.5039413,0.97795874,
0.8416374,-0.036979556,0.5039413,0.9927589,
0.8416374,-0.036979556,0.5039413,0.9846788,
0.79337955,0.0030364443,0.6590169,1.0306957,
0.79337955,0.0030364443,0.6590169,1.0304375,
-0.14694223,0.077971555,0.9893387,0.973726,
-0.14694223,0.077971555,0.9893387,0.9937773,
-0.089792,0.030798221,1.0026773,1.0160372,
-0.041859556,-0.0018435555,1.0236071,1.0256768,
-0.04467911,6.5066665E-4,1.0219804,1.026571,
-0.04511289,1.08444445E-4,1.0232818,1.0238476,
-0.045546666,0.0024942223,1.0244746,1.0248377,
-0.045546666,0.0024942223,1.0244746,1.0266452,
-0.042510223,2.1688889E-4,1.0230649,1.0227164,
-0.042510223,2.1688889E-4,1.0230649,1.0233902,
-0.042510223,2.1688889E-4,1.0230649,1.020444,
-0.042510223,2.1688889E-4,1.0230649,1.0266187,
-0.045980442,-0.0022773333,1.0206791,1.0201204,
-0.044353776,-0.0013013333,1.022848,1.024927,
-0.043594666,-8.6755556E-4,1.0217636,1.0247943,
-0.043269332,0.001952,1.0230649,1.0212481,
-0.043269332,0.001952,1.0230649,1.0217639,
-0.043269332,0.001952,1.0230649,1.0241408,
-0.043269332,0.001952,1.0230649,1.0255107,
-0.042510223,-9.76E-4,1.0268605,1.0285985,
-0.046197332,5.4222223E-4,1.0221974,1.0248474,
-0.043811556,-0.001952,1.023824,1.0234988,
-0.043811556,-0.001952,1.023824,1.0223272,
-0.043811556,-0.001952,1.023824,1.0243522,
-0.043377776,-0.0026026666,1.0243663,1.024918,
-0.040883556,-8.6755556E-4,1.0214382,1.0230453,
-0.044570666,0.0015182222,1.0241493,1.0244697,
-0.045763556,-0.0016266666,1.0248,1.023306,
-0.045763556,-0.0016266666,1.0248,1.0243242,
-0.042510223,-8.6755556E-4,1.0244746,1.0246929,
-0.043811556,-7.591111E-4,1.0240408,1.0258262,
-0.045004442,3.2533333E-4,1.0245831,1.0252556,
-0.045004442,3.2533333E-4,1.0245831,1.0222203,
