X, Y, Z, Dlugosc wektora
-0.37890488,0.4442969,0.84727645,1.0288361,
-0.37890488,0.4442969,0.84727645,1.0288361,
-0.37890488,0.4442969,0.84727645,0.8992431,
-0.37890488,0.4442969,0.84727645,1.1005576,
-0.37890488,0.4442969,0.84727645,1.1005576,
-0.37890488,0.4442969,0.84727645,1.1005576,
0.48637334,0.7614969,0.47498667,0.9522645,
0.48637334,0.7614969,0.47498667,0.9522645,
0.53929424,0.7039129,0.43735644,1.0159221,
0.53929424,0.7039129,0.43735644,1.0159221,
0.53929424,0.7039129,0.43735644,1.0159221,
0.53929424,0.7039129,0.43735644,1.0159221,
0.60360175,0.6898151,0.3999431,0.99932766,
0.60360175,0.6898151,0.3999431,0.99932766,
0.60360175,0.6898151,0.3999431,0.99932766,
0.60360175,0.6898151,0.3999431,0.99932766,
0.60360175,0.6898151,0.3999431,0.99580115,
0.60360175,0.6898151,0.3999431,0.99580115,
0.60360175,0.6898151,0.3999431,1.0723469,
0.60360175,0.6898151,0.3999431,0.96359515,
0.60360175,0.6898151,0.3999431,0.96359515,
0.60360175,0.6898151,0.3999431,0.957496,
0.60360175,0.6898151,0.3999431,0.957496,
0.60360175,0.6898151,0.3999431,0.957496,
0.60360175,0.6898151,0.3999431,0.984733,
0.63787025,-0.55642843,0.5025315,0.9823831,
0.63787025,-0.55642843,0.5025315,0.9823831,
0.6453529,-0.5206418,0.57963556,1.0333583,
0.6453529,-0.5206418,0.57963556,1.0333583,
0.6453529,-0.5206418,0.57963556,1.0833011,
0.6453529,-0.5206418,0.57963556,1.0293342,
0.6453529,-0.5206418,0.57963556,1.0293342,
0.6453529,-0.5206418,0.57963556,1.0450878,
0.6453529,-0.5206418,0.57963556,1.0450878,
0.6453529,-0.5206418,0.57963556,1.0450878,
0.6453529,-0.5206418,0.57963556,1.0450878,
-0.74826664,-0.30049956,0.5321369,0.97013694,
-0.74826664,-0.30049956,0.5321369,0.97013694,
-0.8476018,-0.25310934,0.6270258,1.0515686,
-0.8476018,-0.25310934,0.6270258,1.0515686,
-0.8476018,-0.25310934,0.6270258,1.0515686,
-0.8476018,-0.25310934,0.6270258,1.0701851,
-0.8476018,-0.25310934,0.6270258,1.0412824,
-0.8476018,-0.25310934,0.6270258,1.0934442,
-0.66378844,0.451888,0.80487466,0.9325519,
-0.66378844,0.451888,0.80487466,0.9785147,
-0.66378844,0.451888,0.80487466,0.9785147,
-0.66378844,0.451888,0.80487466,0.9785147,
-0.66378844,0.451888,0.80487466,0.9785147,
-0.296704,0.8798098,0.5063271,1.0336516,
-0.2779431,0.8625671,0.46121424,1.0652443,
-0.2779431,0.8625671,0.46121424,1.0652443,
-0.2779431,0.8625671,0.46121424,1.0005573,
-0.2779431,0.8625671,0.46121424,1.0005573,
0.5138098,0.7578098,0.47845688,0.9821749,
0.5138098,0.7578098,0.47845688,0.9821749,
0.5138098,0.7578098,0.47845688,1.0253354,
0.5138098,0.7578098,0.47845688,1.0253354,
0.45937067,0.75780976,0.4885422,0.9494756,
0.45937067,0.75780976,0.4885422,0.9788192,
0.45937067,0.75780976,0.4885422,0.9788192,
0.6407982,-0.077971555,0.8235271,0.9644824,
0.6407982,-0.077971555,0.8235271,0.9644824,
0.5374507,-0.49277157,0.7126969,1.0195142,
0.554368,-0.488,0.69567114,1.0191951,
0.554368,-0.488,0.69567114,1.0191951,
0.554368,-0.488,0.69567114,1.0140852,
0.48854223,-0.5428729,0.66823465,1.111009,
0.48854223,-0.5428729,0.66823465,1.111009,
0.48854223,-0.5428729,0.66823465,1.111009,
0.48854223,-0.5428729,0.66823465,1.111009,
-0.24573511,-0.31611556,0.9575644,1.0337735,
-0.24573511,-0.31611556,0.9575644,1.0337735,
-0.765184,-0.18403022,0.74891734,1.0265558,
-0.765184,-0.18403022,0.74891734,1.0265558,
-0.765184,-0.18403022,0.74891734,1.1080033,
-0.765184,-0.18403022,0.74891734,1.1080033,
-0.765184,-0.18403022,0.74891734,1.0181932,
-0.765184,-0.18403022,0.74891734,1.0181932,
-0.765184,-0.18403022,0.74891734,1.0181932,
-0.765184,-0.18403022,0.74891734,1.1036319,
-0.765184,-0.18403022,0.74891734,1.1036319,
-0.765184,-0.18403022,0.74891734,1.1036319,
-0.7526044,0.16819733,0.94140625,1.2147709,
-0.7526044,0.16819733,0.94140625,1.2147709,
-0.7526044,0.16819733,0.94140625,1.2147709,
-0.7526044,0.16819733,0.94140625,1.094891,
-0.7526044,0.16819733,0.94140625,1.094891,
-0.7526044,0.16819733,0.94140625,1.094891,
-0.7526044,0.16819733,0.94140625,1.094891,
-0.4970009,0.6632462,0.5937333,1.0031348,
-0.4970009,0.6632462,0.5937333,1.0031348,
-0.45741868,0.779824,0.46826312,1.0351253,
-0.45741868,0.779824,0.46826312,1.0351253,
-0.45741868,0.779824,0.46826312,1.0473492,
-0.28412443,0.772992,0.5603324,0.9296556,
-0.28412443,0.772992,0.5603324,0.9296556,
-0.28412443,0.772992,0.5603324,1.0347074,
0.37001246,0.67116266,0.627568,1.0777929,
0.530944,0.6427502,0.61737424,1.0183328,
0.530944,0.6427502,0.61737424,0.96110064,
0.530944,0.6427502,0.61737424,0.96110064,
0.530944,0.6427502,0.61737424,0.96110064,
