Alfa, Beta, Gamma
-3.084962,89.87907,172.45158,
-3.086172,89.87624,173.79623,
-3.095854,89.8653,174.7006,
-3.095854,89.8653,174.7006,
-3.1033275,89.86216,157.59064,
-3.1047177,89.855606,164.04504,
-3.1047177,89.855606,164.04504,
-3.0849104,89.87162,172.08455,
-3.0996718,89.876495,168.75458,
-3.0996718,89.876495,168.75458,
-3.0955646,89.86845,169.14601,
-3.0955646,89.86845,169.14601,
-3.0955646,89.86845,169.14601,
-3.0955646,89.86845,169.14601,
-3.0955646,89.86845,169.14601,
-3.0776436,89.85859,142.8841,
-3.0776436,89.85859,142.8841,
-3.0958297,89.878746,125.65149,
-3.0958297,89.878746,125.65149,
-3.1138487,89.8612,133.04166,
-3.1138487,89.8612,133.04166,
-3.0975366,89.85186,148.86786,
-3.0810874,89.86087,159.0572,
-3.0891886,89.85583,165.21567,
-3.0891886,89.85583,165.21567,
-3.0962195,89.85998,167.67352,
-3.0962195,89.85998,167.67352,
-3.0962195,89.85998,167.67352,
-3.0962195,89.85998,167.67352,
-3.082895,89.84649,169.23157,
-3.082895,89.84649,169.23157,
-3.094088,89.84958,169.85938,
-3.094088,89.84958,169.85938,
-3.094088,89.84958,169.85938,
-3.0849202,89.84615,172.04655,
-3.095132,89.890465,150.18562,
-3.095132,89.890465,150.18562,
-3.095132,89.890465,150.18562,
-3.095132,89.890465,150.18562,
-3.0985205,89.884094,152.97923,
-3.109708,89.89199,151.53635,
-3.1144185,89.89211,151.02617,
-3.1144185,89.89211,151.02617,
-3.1162407,89.890656,147.04236,
-3.1162407,89.890656,147.04236,
-3.1132133,89.901825,145.05565,
-3.1132133,89.901825,145.05565,
-3.1092243,89.8852,155.06075,
-3.1092243,89.8852,155.06075,
-3.1073792,89.88597,161.88516,
-3.1073792,89.88597,161.88516,
-3.1073792,89.88597,161.88516,
-3.101171,89.8952,167.22049,
-3.101171,89.8952,167.22049,
-3.095208,89.89793,143.76353,
-3.095208,89.89793,143.76353,
-3.0963645,89.88635,155.7614,
-3.0963645,89.88635,155.7614,
-3.0963645,89.88635,155.7614,
-3.0953667,89.89647,153.97112,
-3.0953667,89.89647,153.97112,
-3.0963538,89.8923,147.30061,
-3.0963538,89.8923,147.30061,
-3.090606,89.869255,163.6243,
-3.090606,89.869255,163.6243,
-3.1125538,89.87281,169.79958,
-3.1125538,89.87281,169.79958,
-3.0989132,89.89419,139.40535,
-3.0989132,89.89419,139.40535,
-3.1186697,89.882034,120.716736,
-3.1186697,89.882034,120.716736,
-3.1230247,89.86627,128.07974,
-3.1230247,89.86627,128.07974,
-3.1230247,89.86627,128.07974,
-3.120164,89.8796,132.56104,
-3.120164,89.8796,132.56104,
-3.0988119,89.87553,157.30432,
-3.0988119,89.87553,157.30432,
-3.1071093,89.876144,171.25961,
-3.1071093,89.876144,171.25961,
-3.1007733,89.87806,168.28342,
-3.1007733,89.87806,168.28342,
-3.0975845,89.875565,170.88718,
-3.107415,89.87605,163.21884,
-3.107415,89.87605,163.21884,
-3.0880804,89.88045,167.91632,
-3.0880804,89.88045,167.91632,
-3.1080968,89.86931,170.73055,
-3.1080968,89.86931,170.73055,
-3.1080968,89.86931,170.73055,
-3.1119475,89.858665,157.74052,
-3.1119475,89.858665,157.74052,
-3.1159294,89.866,163.99095,
-3.1159294,89.866,163.99095,
-3.0974596,89.87671,136.71283,
-3.0974462,89.88198,122.04473,
-3.0974462,89.88198,122.04473,
-3.087945,89.862366,148.40186,
-3.087945,89.862366,148.40186,
-3.1269486,89.87001,150.56618,
-3.1269486,89.87001,150.56618,
-3.1269486,89.87001,150.56618,
-3.1212049,89.87901,155.57767,
-3.1212049,89.87901,155.57767,
-3.1263993,89.89265,159.5951,
-3.1263993,89.89265,159.5951,
-3.1184266,89.88307,158.20453,
-3.1184266,89.88307,158.20453,
-3.1145878,89.8849,150.78674,
-3.1145878,89.8849,150.78674,
-3.1145878,89.8849,150.78674,
-3.1045184,89.900604,134.36693,
-3.1045184,89.900604,134.36693,
-3.1048665,89.878136,161.96657,
-3.094902,89.88275,161.41713,
-3.094902,89.88275,161.41713,
-3.0936694,89.90041,151.39235,
-3.1157665,89.885284,155.34465,
-3.1157665,89.885284,155.34465,
-3.1014297,89.88359,148.11899,
-3.1014297,89.88359,148.11899,
-3.1039183,89.881294,146.55348,
-3.1039183,89.881294,146.55348,
-3.1039183,89.881294,146.55348,
-3.1112647,89.85959,160.4784,
-3.1112647,89.85959,160.4784,
-3.1112647,89.85959,160.4784,
-3.1112647,89.85959,160.4784,
-3.1112647,89.85959,160.4784,
-3.0861795,89.87031,149.29448,
-3.0861795,89.87031,149.29448,
-3.1066432,89.882065,135.20432,
-3.1193674,89.882835,141.34521,
-3.092576,89.86412,156.25357,
-3.092576,89.86412,156.25357,
-3.0824935,89.87745,162.38853,
-3.0824935,89.87745,162.38853,
-3.0888486,89.884445,163.43636,
-3.0888486,89.884445,163.43636,
-3.08753,89.88583,167.93044,
-3.08753,89.88583,167.93044,
-3.0702434,89.90385,141.7274,
-3.0702434,89.90385,141.7274,
-3.0737805,89.88525,137.18913,
-3.0737805,89.88525,137.18913,
-3.0737805,89.88525,137.18913,
-3.07195,89.87619,130.59932,
-3.0827608,89.88777,135.57288,
-3.089277,89.884544,132.53119,
-3.1015632,89.87769,112.43991,
-3.0956001,89.900154,117.08272,
-3.1031513,89.891136,117.26324,
-3.101771,89.888885,119.51144,
-3.101771,89.888885,119.51144,
-3.101771,89.888885,119.51144,
-3.1181993,89.88184,138.2251,
-3.0947378,89.88561,152.45021,
-3.0947378,89.88561,152.45021,
-3.1016772,89.895096,144.55759,
-3.1016772,89.895096,144.55759,
-3.0947268,89.90292,108.12469,
-3.0947268,89.90292,108.12469,
-3.0947268,89.90292,108.12469,
-3.0990713,89.867096,83.020805,
-3.0583115,89.84651,52.729565,
-3.0583115,89.84651,52.729565,
7.254986,89.953995,25.591133,
7.254986,89.953995,25.591133,
14.912033,89.938774,17.552261,
14.912033,89.938774,17.552261,
28.200506,90.01107,7.9156456,
33.249577,90.06163,5.1922307,
33.249577,90.06163,5.1922307,
37.313705,90.10108,3.3454106,
37.313705,90.10108,3.3454106,
39.843594,90.10137,2.27638,
39.843594,90.10137,2.27638,
39.843594,90.10137,2.27638,
30.767069,90.083466,0.036539353,
